Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"IG","Government Expenditure","578","Norway","6184","Value US$, 2015 prices","23130","Total Expenditure (general government)","2021","2021","million USD","200092.29","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6224","Value Standard Local Currency","23130","Total Expenditure (general government)","2022","2022","million SLC","2152386","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6110","Value US$","23130","Total Expenditure (general government)","2022","2022","million USD","223876.5","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6184","Value US$, 2015 prices","23130","Total Expenditure (general government)","2022","2022","million USD","167914.5","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6224","Value Standard Local Currency","23130","Total Expenditure (general government)","2023","2023","million SLC","2341467","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6110","Value US$","23130","Total Expenditure (general government)","2023","2023","million USD","221659.86","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6184","Value US$, 2015 prices","23130","Total Expenditure (general government)","2023","2023","million USD","204352.25","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6224","Value Standard Local Currency","23131","Agriculture, forestry, fishing (general government expenditure)","2010","2010","million SLC","16649","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6110","Value US$","23131","Agriculture, forestry, fishing (general government expenditure)","2010","2010","million USD","2754.56","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6184","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2010","2010","million USD","2274.69","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6111","Share of Total Expenditure","23131","Agriculture, forestry, fishing (general government expenditure)","2010","2010","%","1.45","E","Estimated value","consolidated General Government"
"IG","Government Expenditure","578","Norway","6224","Value Standard Local Currency","23131","Agriculture, forestry, fishing (general government expenditure)","2011","2011","million SLC","16765","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6110","Value US$","23131","Agriculture, forestry, fishing (general government expenditure)","2011","2011","million USD","2991.29","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6184","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2011","2011","million USD","2147.26","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6111","Share of Total Expenditure","23131","Agriculture, forestry, fishing (general government expenditure)","2011","2011","%","1.39","E","Estimated value","consolidated General Government"
"IG","Government Expenditure","578","Norway","6224","Value Standard Local Currency","23131","Agriculture, forestry, fishing (general government expenditure)","2012","2012","million SLC","17058","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6110","Value US$","23131","Agriculture, forestry, fishing (general government expenditure)","2012","2012","million USD","2932.19","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6184","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2012","2012","million USD","2113.9","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6111","Share of Total Expenditure","23131","Agriculture, forestry, fishing (general government expenditure)","2012","2012","%","1.36","E","Estimated value","consolidated General Government"
"IG","Government Expenditure","578","Norway","6224","Value Standard Local Currency","23131","Agriculture, forestry, fishing (general government expenditure)","2013","2013","million SLC","18085","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6110","Value US$","23131","Agriculture, forestry, fishing (general government expenditure)","2013","2013","million USD","3078.3","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6184","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2013","2013","million USD","2185.37","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6111","Share of Total Expenditure","23131","Agriculture, forestry, fishing (general government expenditure)","2013","2013","%","1.36","E","Estimated value","consolidated General Government"
"IG","Government Expenditure","578","Norway","6224","Value Standard Local Currency","23131","Agriculture, forestry, fishing (general government expenditure)","2014","2014","million SLC","18136","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6110","Value US$","23131","Agriculture, forestry, fishing (general government expenditure)","2014","2014","million USD","2877.97","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6184","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2014","2014","million USD","2185.89","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6111","Share of Total Expenditure","23131","Agriculture, forestry, fishing (general government expenditure)","2014","2014","%","1.28","E","Estimated value","consolidated General Government"
"IG","Government Expenditure","578","Norway","6224","Value Standard Local Currency","23131","Agriculture, forestry, fishing (general government expenditure)","2015","2015","million SLC","18528","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6110","Value US$","23131","Agriculture, forestry, fishing (general government expenditure)","2015","2015","million USD","2297.57","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6184","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2015","2015","million USD","2297.57","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6111","Share of Total Expenditure","23131","Agriculture, forestry, fishing (general government expenditure)","2015","2015","%","1.24","E","Estimated value","consolidated General Government"
"IG","Government Expenditure","578","Norway","6224","Value Standard Local Currency","23131","Agriculture, forestry, fishing (general government expenditure)","2016","2016","million SLC","18687","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6110","Value US$","23131","Agriculture, forestry, fishing (general government expenditure)","2016","2016","million USD","2224.6","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6184","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2016","2016","million USD","2354.92","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6111","Share of Total Expenditure","23131","Agriculture, forestry, fishing (general government expenditure)","2016","2016","%","1.2","E","Estimated value","consolidated General Government"
"IG","Government Expenditure","578","Norway","6224","Value Standard Local Currency","23131","Agriculture, forestry, fishing (general government expenditure)","2017","2017","million SLC","19147","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6110","Value US$","23131","Agriculture, forestry, fishing (general government expenditure)","2017","2017","million USD","2314.77","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6184","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2017","2017","million USD","2318.28","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6111","Share of Total Expenditure","23131","Agriculture, forestry, fishing (general government expenditure)","2017","2017","%","1.18","E","Estimated value","consolidated General Government"
"IG","Government Expenditure","578","Norway","6224","Value Standard Local Currency","23131","Agriculture, forestry, fishing (general government expenditure)","2018","2018","million SLC","18079","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6110","Value US$","23131","Agriculture, forestry, fishing (general government expenditure)","2018","2018","million USD","2223.06","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6184","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2018","2018","million USD","2050.69","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6111","Share of Total Expenditure","23131","Agriculture, forestry, fishing (general government expenditure)","2018","2018","%","1.06","E","Estimated value","consolidated General Government"
"IG","Government Expenditure","578","Norway","6224","Value Standard Local Currency","23131","Agriculture, forestry, fishing (general government expenditure)","2019","2019","million SLC","21151","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6110","Value US$","23131","Agriculture, forestry, fishing (general government expenditure)","2019","2019","million USD","2403.52","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6184","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2019","2019","million USD","2412.38","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6111","Share of Total Expenditure","23131","Agriculture, forestry, fishing (general government expenditure)","2019","2019","%","1.17","E","Estimated value","consolidated General Government"
"IG","Government Expenditure","578","Norway","6224","Value Standard Local Currency","23131","Agriculture, forestry, fishing (general government expenditure)","2020","2020","million SLC","15156","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6110","Value US$","23131","Agriculture, forestry, fishing (general government expenditure)","2020","2020","million USD","1609.63","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6184","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2020","2020","million USD","1773.26","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6111","Share of Total Expenditure","23131","Agriculture, forestry, fishing (general government expenditure)","2020","2020","%","0.77","E","Estimated value","consolidated General Government"
"IG","Government Expenditure","578","Norway","6224","Value Standard Local Currency","23131","Agriculture, forestry, fishing (general government expenditure)","2021","2021","million SLC","22056","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6110","Value US$","23131","Agriculture, forestry, fishing (general government expenditure)","2021","2021","million USD","2567.64","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6184","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2021","2021","million USD","2203.67","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6111","Share of Total Expenditure","23131","Agriculture, forestry, fishing (general government expenditure)","2021","2021","%","1.1","E","Estimated value","consolidated General Government"
"IG","Government Expenditure","578","Norway","6224","Value Standard Local Currency","23131","Agriculture, forestry, fishing (general government expenditure)","2022","2022","million SLC","22463","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6110","Value US$","23131","Agriculture, forestry, fishing (general government expenditure)","2022","2022","million USD","2336.45","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6184","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2022","2022","million USD","1752.41","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6111","Share of Total Expenditure","23131","Agriculture, forestry, fishing (general government expenditure)","2022","2022","%","1.04","E","Estimated value","consolidated General Government"
"IG","Government Expenditure","578","Norway","6224","Value Standard Local Currency","23131","Agriculture, forestry, fishing (general government expenditure)","2023","2023","million SLC","28459","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6110","Value US$","23131","Agriculture, forestry, fishing (general government expenditure)","2023","2023","million USD","2694.13","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6184","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2023","2023","million USD","2483.77","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6111","Share of Total Expenditure","23131","Agriculture, forestry, fishing (general government expenditure)","2023","2023","%","1.22","E","Estimated value","consolidated General Government"
"IG","Government Expenditure","578","Norway","6224","Value Standard Local Currency","23144","Environmental protection (general government expenditure)","2010","2010","million SLC","21199","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6110","Value US$","23144","Environmental protection (general government expenditure)","2010","2010","million USD","3507.35","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6184","Value US$, 2015 prices","23144","Environmental protection (general government expenditure)","2010","2010","million USD","2896.34","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6224","Value Standard Local Currency","23144","Environmental protection (general government expenditure)","2011","2011","million SLC","22034","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6110","Value US$","23144","Environmental protection (general government expenditure)","2011","2011","million USD","3931.41","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6184","Value US$, 2015 prices","23144","Environmental protection (general government expenditure)","2011","2011","million USD","2822.11","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6224","Value Standard Local Currency","23144","Environmental protection (general government expenditure)","2012","2012","million SLC","22476","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6110","Value US$","23144","Environmental protection (general government expenditure)","2012","2012","million USD","3863.52","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6184","Value US$, 2015 prices","23144","Environmental protection (general government expenditure)","2012","2012","million USD","2785.32","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6224","Value Standard Local Currency","23144","Environmental protection (general government expenditure)","2013","2013","million SLC","24539","A","Official figure","consolidated General Government"
